,time
bE17.5_1_01,-1
bE17.5_1_02,-1
bE17.5_1_03,-1
bE17.5_1_04,-1
bE17.5_1_05,-1
bE17.5_2_01,-1
bE17.5_2_02,-1
bE17.5_2_03,-1
bE17.5_2_04,-1
bE17.5_2_05,-1
bE17.5_2_06,-1
bE17.5_2_07,-1
bE17.5_2_08,-1
bE17.5_2_09,-1
bE17.5_2_10,-1
bE17.5_2_11,-1
bE17.5_2_12,-1
bE17.5_2_13,-1
bE17.5_2_14,-1
bE17.5_2_15,-1
bE17.5_2_16,-1
bE17.5_2_17,-1
bE17.5_2_18,-1
bE17.5_2_19,-1
bE17.5_2_20,-1
bE17.5_2_21,-1
bE17.5_2_22,-1
bE17.5_2_23,-1
bE17.5_2_24,-1
bE17.5_2_25,-1
bE17.5_2_26,-1
bE17.5_2_27,-1
bE17.5_2_28,-1
bE17.5_2_29,-1
bE17.5_2_30,-1
bE17.5_2_31,-1
bE17.5_3_01,-1
bE17.5_3_02,-1
bE17.5_3_03,-1
bE17.5_3_04,-1
bE17.5_3_05,-1
bE17.5_3_06,-1
bE17.5_3_07,-1
bE17.5_3_08,-1
bE17.5_3_09,-1
bE17.5_3_10,-1
bE17.5_3_11,-1
bE17.5_3_12,-1
bE17.5_3_13,-1
bE17.5_3_14,-1
bE17.5_3_15,-1
bE17.5_3_16,-1
bE17.5_3_17,-1
bE17.5_3_18,-1
bE17.5_3_19,-1
bE17.5_3_20,-1
bE17.5_3_21,-1
bP0_1_01,0
bP0_1_02,0
bP0_1_03,0
bP0_1_04,0
bP0_1_05,0
bP0_1_06,0
bP0_1_07,0
bP0_1_08,0
bP0_1_09,0
bP0_1_10,0
bP0_1_11,0
bP0_1_12,0
bP0_1_13,0
bP0_1_14,0
bP0_1_15,0
bP0_1_16,0
bP0_1_17,0
bP0_1_18,0
bP0_1_19,0
bP0_1_20,0
bP0_1_21,0
bP0_1_22,0
bP0_1_23,0
bP0_1_24,0
bP0_1_25,0
bP0_1_26,0
bP0_1_27,0
bP0_1_28,0
bP0_1_29,0
bP0_1_30,0
bP0_1_31,0
bP0_1_32,0
bP0_1_33,0
bP0_2_01,0
bP0_2_02,0
bP0_2_03,0
bP0_2_04,0
bP0_2_05,0
bP0_2_06,0
bP0_2_07,0
bP0_2_08,0
bP0_2_09,0
bP0_2_10,0
bP0_2_11,0
bP0_2_12,0
bP0_2_13,0
bP0_2_14,0
bP0_2_15,0
bP0_2_16,0
bP0_2_17,0
bP0_2_18,0
bP0_2_19,0
bP0_2_20,0
bP0_2_21,0
bP0_2_22,0
bP0_2_23,0
bP0_2_24,0
bP0_2_25,0
bP0_2_26,0
bP0_2_27,0
bP0_2_28,0
bP0_2_29,0
bP0_3_01,0
bP0_3_02,0
bP0_3_03,0
bP0_3_04,0
bP0_3_05,0
bP0_3_06,0
bP0_3_07,0
bP0_3_08,0
bP0_3_09,0
bP0_4_01,0
bP0_4_02,0
bP0_4_03,0
bP0_4_04,0
bP0_4_05,0
bP0_4_06,0
bP0_4_07,0
bP0_4_08,0
bP0_4_09,0
bP3_1_01,3
bP3_1_02,3
bP3_1_03,3
bP3_1_04,3
bP3_1_05,3
bP3_1_06,3
bP3_1_07,3
bP3_1_08,3
bP3_1_09,3
bP3_1_10,3
bP3_1_11,3
bP3_1_12,3
bP3_1_13,3
bP3_1_14,3
bP3_1_15,3
bP3_1_16,3
bP3_1_17,3
bP3_2_01,3
bP3_2_02,3
bP3_2_03,3
bP3_2_04,3
bP3_2_05,3
bP3_2_06,3
bP3_2_07,3
bP3_2_08,3
bP3_2_09,3
