,gene_name
0,Cdc45
1,H19
2,Scml2
3,Narf
4,Klf6
5,Ngfr
6,Igsf5
7,Pih1d2
8,Scnn1g
9,Tpd52l1
10,Pemt
11,Ckmt1
12,Alox12
13,Tbrg4
14,Mx1
15,Egfl6
16,Pparg
17,Grasp
18,Sox9
19,Polr3d
20,Txnrd3
21,Il4
22,Top1mt
23,Mmp14
24,S100a4
25,S100a6
26,N4bp3
27,Nhp2
28,Cfp
29,Gmcl1
30,Ocrl
31,Sema6b
32,Uhrf1
33,Ramp2
34,Hpn
35,Myg1
36,Efnb2
37,Rnd2
38,Sync
39,Fndc5
40,Ube2c
41,Col18a1
42,Tubb6
43,Meox1
44,Foxm1
45,Gtf2h4
46,Gstt1
47,Gstt3
48,Tat
49,Eef1e1
50,Smo
51,Pwp1
52,Capns1
53,Folr1
54,Zdhhc4
55,Ugp2
56,Slc1a5
57,Esam
58,Spa17
59,Emd
60,Taco1
61,Gria3
62,Sipa1l2
63,Srpk3
64,Pnck
65,Spag5
66,Foxn1
67,Unc119
68,Rab34
69,Ccne1
70,Bbc3
71,Rhoc
72,Dbf4
73,Cd320
74,Rec8
75,Gmpr2
76,2310045N01Rik
77,Rgs19
78,Rgs20
79,Abhd3
80,Slc9a3r2
81,Prkra
82,Fkbp7
83,Gnmt
84,Epdr1
85,Qtrt1
86,Chaf1a
87,Mcm2
88,Nab1
89,Cd97
90,Lamb1
91,Kcnn1
92,Arrdc2
93,Ppp1r17
94,Bcam
95,Apoe
96,Klf4
97,Elf3
98,Lipe
99,Bcl2l12
100,Zfp959
101,Mpnd
102,Ccdc94
103,Sult2b1
104,Car11
105,Btbd2
106,Ccdc65
107,Cd79a
108,Pih1d1
109,Crhr2
110,Prodh
111,Ier3
112,Fosb
113,Ercc1
114,Homer3
115,Rnf215
116,Rps6ka1
117,Kif20a
118,Gcdh
119,Syce2
120,Nqo1
121,Ruvbl2
122,Lin7b
123,Efnb3
124,Brinp2
125,Gstm5
126,Gstm7
127,Ptrf
128,Dnmt1
129,Angptl2
130,Etv1
131,Il11
132,Large
133,Bid
134,Chn2
135,Mtfp1
136,Pgf
137,Mapk13
138,Matk
139,Hspb1
140,Fxyd4
141,Slc2a9
142,4930550C14Rik
143,Fgfr4
144,Msh6
145,Mcm5
146,Hmox1
147,Asf1b
148,Tmod4
149,Mthfd2
150,Kit
151,Apoa2
152,Pard6a
153,Gata6
154,Trh
155,Ctns
156,Shpk
157,Ephb3
158,Tuft1
159,Rcn1
160,Dnase1
161,Ankrd13d
162,Kptn
163,Fblim1
164,Zbtb32
165,Crip2
166,Fbln1
167,Hyi
168,Cdc20
169,Pvrl4
170,Actn3
171,Nsmf
172,Mvd
173,Cyba
174,Tmem110
175,Itih1
176,Cdt1
177,Pola1
178,Gmnn
179,Zfp184
180,Tph2
181,Cnp
182,Tmco6
183,Chrd
184,Syngr3
185,Ddah2
186,Pole
187,Stx1a
188,Mc5r
189,Fance
190,Tinf2
191,Cpt1c
